Art
Anguilla anguilla
Abramis brama
Alburnus alburnus
Leuciscus aspius
Ballerus ballerus
Blicca bjoerkna
Carassius carassius
Carassius gibelio
Ctenopharyngodon idella
Cyprinus carpio
Gobio gobio
Lampetra fluviatilis
Lampetra planeri
Leucaspius delineatus
Leuciscus idus
Leuciscus leuciscus
Pelecus cultratus
Phoxinus phoxinus
Rutilus rutilus
Scardinius erythrophthalmus
Squalius cephalus
Tinca tinca
Vimba vimba
Cobitis taenia
Barbatula barbatula
Silurus glanis
Osmerus eperlanus
Coregonus albula
Coregonus maraena
Oncorhynchus clarkii
Oncorhynchus mykiss
Oncorhynchus nerka
Salmo salar
Salmo trutta
Salvelinus alpinus
Salvelinus fontinalis
Salvelinus namaycush
Thymallus thymallus
Esox lucius
Lota lota
Gasterosteus aculeatus
Pungitius pungitius
Cottus gobio
Cottus koshewnikowi
Cottus poecilopus
Myoxocephalus quadricornis
Gymnocephalus cernua
Perca fluviatilis
Sander lucioperca
